hospital_name,gender,age,ssn,blood_type,height,weight,temperature,blood_pressure,heart_rate,diagnosis_code,procedure_code,admission_date,discharge_date,medication_name,dosage,allergies,insurance_provider,emergency_contact_name,emergency_contact_phone
error: unable to close due to unfinalized statements or unfinished backups,Polygender,43,156-39-9960,O,270.29,400.93,37.48,138,174,73021,3611,5/19/2022,6/23/2021,Alendronate Sodium,781.87,Peanuts,Cigna,Carlen Keene,637-188-4209
error: unable to close due to unfinalized statements or unfinished backups,Male,103,210-69-5227,B,230.01,590.83,33.95,74,84,81201,0765,4/2/2021,12/10/2021,Ziprasidone Hydrochloride,121.81,Latex,Aetna,Roarke Crass,966-566-0035
error: unable to close due to unfinalized statements or unfinished backups,Female,25,114-41-6410,O,250.28,936.39,44.48,75,165,8850,5551,6/6/2022,6/14/2020,skin protectant/topical analgesic,8.68,Penicillin,Blue Cross Blue Shield,Tildy Wardesworth,517-187-7830
error: unable to close due to unfinalized statements or unfinished backups,Female,81,445-04-4017,B,95.54,148.91,39.89,128,141,01581,8007,10/12/2021,1/3/2021,Simethicone,686.09,Peanuts,Cigna,Elga Kryska,224-832-5191
error: unable to close due to unfinalized statements or unfinished backups,Female,20,562-23-5062,B,15.75,941.26,44.24,142,103,36632,0442,5/2/2021,7/22/2020,Nystatin and Triamcinolone Acetonide,262.79,Penicillin,Aetna,Amity Wissbey,368-380-8637
error: unable to close due to unfinalized statements or unfinished backups,Female,69,844-50-9276,O,148.92,126.57,32.08,141,46,94333,7879,11/18/2022,11/15/2021,Timolol Maleate,330.37,Peanuts,Blue Cross Blue Shield,Malinde Pepis,271-383-4205
error: unable to close due to unfinalized statements or unfinished backups,Male,9,715-63-7658,AB,246.1,905.87,31.58,180,69,37552,480,3/24/2021,3/3/2021,Alcohol,839.53,Latex,Blue Cross Blue Shield,Frazier Oleszkiewicz,121-865-4051
error: unable to close due to unfinalized statements or unfinished backups,Male,52,509-82-9721,AB,65.12,693.08,33.34,84,55,4846,8099,5/9/2022,4/29/2020,Pramipexole,755.63,Peanuts,Blue Cross Blue Shield,Bearnard Matisoff,433-731-8102
error: unable to close due to unfinalized statements or unfinished backups,Male,86,403-58-1785,AB,228.98,839.32,43.75,89,142,67602,726,5/24/2021,11/7/2021,"BENZALKONIUM CHLORIDE, BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE, WATER, ISOPROPYL ALCOHOL, BENZOCAINE, ALCOHOL, ASPIRIN,",225.02,Peanuts,Cigna,Jaimie Adamsky,825-984-9596
error: unable to close due to unfinalized statements or unfinished backups,Male,87,839-66-6108,A,158.46,79.56,33.46,63,44,7840,0040,2/29/2020,5/9/2020,ARNICA MONTANA,900.21,Penicillin,Cigna,Jodie Dixie,162-828-3463
error: unable to close due to unfinalized statements or unfinished backups,Male,60,657-70-9109,A,10.3,81.74,37.61,161,176,73007,9367,6/27/2022,12/22/2020,Short Ragweed Pollen,658.48,Latex,Blue Cross Blue Shield,Ody Shemilt,943-279-3494
error: unable to close due to unfinalized statements or unfinished backups,Male,47,354-98-1301,O,251.5,84.91,32.97,62,143,27661,7802,11/17/2022,6/29/2021,Salicylic Acid,469.4,Peanuts,Aetna,Innis Aynscombe,190-715-7867
error: unable to close due to unfinalized statements or unfinished backups,Male,97,827-48-6614,A,134.35,10.54,37.47,126,59,01080,8833,10/5/2020,6/11/2020,Fluoxetine,677.26,Peanuts,Aetna,Fransisco Mangam,652-947-8989
error: unable to close due to unfinalized statements or unfinished backups,Bigender,54,526-94-1594,A,61.44,166.38,43.7,191,174,2771,8252,1/20/2020,2/7/2022,Date,679.27,Latex,Blue Cross Blue Shield,Cori Orgee,380-527-3931
error: unable to close due to unfinalized statements or unfinished backups,Male,76,622-20-8287,O,65.63,845.11,33.18,104,73,52560,0212,1/4/2021,9/12/2020,dasatinib,228.04,Penicillin,Aetna,Constantino Azam,701-225-7934
error: unable to close due to unfinalized statements or unfinished backups,Male,64,840-58-6383,A,272.91,786.6,32.02,116,77,V1003,9162,7/18/2022,9/8/2020,Allergenic Extracts Alum Precipitated,413.24,Peanuts,Cigna,Thorn Roberti,921-771-6270
error: unable to close due to unfinalized statements or unfinished backups,Male,65,187-62-4624,B,20.84,878.68,43.57,161,178,3492,9906,10/15/2022,2/6/2022,Gabapentin,315.17,Latex,Cigna,Herve Poytres,946-721-0028
error: unable to close due to unfinalized statements or unfinished backups,Female,55,336-22-8010,AB,125.05,926.33,34.61,154,153,38845,0132,4/11/2021,6/24/2022,Cantaloupe Cucumis melo,523.78,Latex,Aetna,Shari Sallings,905-557-3869
error: unable to close due to unfinalized statements or unfinished backups,Male,94,695-10-7683,O,167.69,246.12,44.79,97,43,20903,1191,1/12/2020,2/8/2021,Terbinafine Hydrochloride,377.23,Penicillin,Blue Cross Blue Shield,Harcourt Alven,940-463-1370
error: unable to close due to unfinalized statements or unfinished backups,Female,57,709-44-0600,B,78.19,730.96,44.7,188,134,71106,1455,11/6/2021,12/6/2022,Alcohol,329.72,Peanuts,Cigna,Glenna Morphet,365-377-0560
error: unable to close due to unfinalized statements or unfinished backups,Male,27,688-86-2642,A,33.23,246.39,32.09,185,166,6809,8181,6/26/2020,10/11/2021,Hydrogen Peroxide,637.65,Latex,Blue Cross Blue Shield,Rafi Braxton,734-205-5413
error: unable to close due to unfinalized statements or unfinished backups,Female,53,645-71-9111,A,272.03,378.36,39.69,122,96,0980,3893,4/14/2022,8/14/2021,sertraline hydrochloride,177.94,Peanuts,Aetna,Ashien Eyeington,753-175-9116
error: unable to close due to unfinalized statements or unfinished backups,Female,50,579-81-7276,O,179.23,485.88,32.8,113,151,51281,8721,11/13/2021,9/26/2021,TRICLOSAN,701.74,Peanuts,Aetna,Chanda Symons,373-376-6572
error: unable to close due to unfinalized statements or unfinished backups,Female,19,190-41-9121,O,278.85,209.84,33.18,155,68,45111,8082,1/19/2022,11/25/2021,menthol,802.25,Penicillin,Cigna,Valeda Lesslie,906-796-5837
error: unable to close due to unfinalized statements or unfinished backups,Female,84,268-22-3812,AB,256.26,228.35,44.92,123,135,E8681,2629,3/16/2020,10/17/2021,TITANIUM DIOXIDE,104.17,Penicillin,Cigna,Caryn Alejandro,293-873-7636
error: unable to close due to unfinalized statements or unfinished backups,Male,79,817-76-6662,A,150.01,992.75,37.43,172,127,63452,0753,11/10/2022,3/14/2020,Wintergreen Isopropyl Alcohol,8.93,Peanuts,Cigna,Guido Panton,576-974-3864
error: unable to close due to unfinalized statements or unfinished backups,Genderfluid,101,207-40-0846,A,60.45,899.21,31.64,165,185,1625,3965,1/8/2022,7/8/2022,Curvularia spicifera,749.39,Peanuts,Aetna,Gertruda Joney,591-365-4601
error: unable to close due to unfinalized statements or unfinished backups,Male,59,848-25-0103,O,152.31,680.26,40.45,86,188,6100,7726,5/21/2022,12/20/2020,Venlafaxine,647.02,Peanuts,Cigna,Benjy Marshallsay,611-628-9926
error: unable to close due to unfinalized statements or unfinished backups,Female,9,748-56-1315,A,116.05,179.23,32.39,183,184,01753,9377,10/10/2022,1/9/2022,TRICLOSAN,748.64,Latex,Aetna,Pierette Duthy,323-431-4740
error: unable to close due to unfinalized statements or unfinished backups,Female,50,731-51-7021,B,134.5,889.66,34.71,166,152,V280,7877,3/10/2021,3/3/2020,"oxycodone hydrochloride, acetaminophen",347.58,Penicillin,Cigna,Margaux Carroll,187-652-0892
error: unable to close due to unfinalized statements or unfinished backups,Female,116,180-87-0238,B,63.02,36.11,38.38,182,191,01720,9507,12/8/2022,1/31/2022,Allantoin,804.11,Penicillin,Cigna,Katha Eddisford,753-999-6909
error: unable to close due to unfinalized statements or unfinished backups,Male,54,129-10-2850,O,152.5,613.6,43.08,151,42,75559,7014,7/10/2021,8/22/2020,Desloratadine,470.76,Latex,Aetna,Creighton Ughini,277-322-2217
error: unable to close due to unfinalized statements or unfinished backups,Female,89,519-07-7050,A,223.82,61.87,42.99,167,70,65921,1432,2/11/2020,8/13/2022,risperidone,933.6,Penicillin,Cigna,Rebekah Dilke,798-100-3384
error: unable to close due to unfinalized statements or unfinished backups,Genderqueer,18,111-78-9793,B,75.69,902.54,32.43,72,118,83949,7941,7/25/2021,3/6/2022,"Acetaminophen, Aspirin (NSAID), and Caffeine",429.29,Peanuts,Cigna,Marieann Dalyiel,429-637-0659
error: unable to close due to unfinalized statements or unfinished backups,Female,79,562-52-1368,A,171.43,672.49,44.23,181,67,8785,1829,6/22/2021,12/9/2021,desvenlafaxine,826.6,Peanuts,Cigna,Moyna Sherratt,695-227-4930
error: unable to close due to unfinalized statements or unfinished backups,Male,59,238-02-8403,AB,141.15,348.36,35.38,193,96,53021,8916,9/11/2022,2/10/2020,"Agaricus muscarius, Arnica montana, Hypericum perforatum, phosphorus, Plumbum metallicum, Mercurius solubilis, Allium cepa, Lycopodium clavatum,",331.43,Peanuts,Aetna,Urban Moncreiff,984-632-5056
error: unable to close due to unfinalized statements or unfinished backups,Male,11,571-63-4926,A,262.34,190.97,40.82,170,95,40591,0912,2/5/2022,10/25/2020,Hydrocodone Polistirex and Chlorpheniramine Polistirex,213.47,Peanuts,Aetna,Caleb MacCahee,208-483-2426
error: unable to close due to unfinalized statements or unfinished backups,Female,98,469-57-2552,A,14.53,658.43,44.4,139,40,1308,4869,12/26/2020,7/21/2020,Morphine Sulfate,942.31,Penicillin,Cigna,Koo Ullock,795-137-2145
error: unable to close due to unfinalized statements or unfinished backups,Bigender,13,410-25-7563,B,154.71,50.73,44.49,172,92,33922,1390,9/3/2021,1/17/2021,Ropinirole,574.7,Latex,Blue Cross Blue Shield,Luz Matresse,365-419-1142
error: unable to close due to unfinalized statements or unfinished backups,Male,22,425-94-0437,AB,207.41,182.13,39.89,70,101,86131,5682,11/21/2021,8/27/2021,"Symphytum officinale, Capsicum annuum, Ledum palustre, Colchicum autumnale, Rhododendron chrysanthum, Ruta graveolens,",582.13,Penicillin,Cigna,Willie Raw,749-156-2924
error: unable to close due to unfinalized statements or unfinished backups,Female,110,712-29-3300,AB,5.25,108.97,42.64,150,71,36641,3199,6/7/2022,11/22/2020,Hydrocortisone Acetate,533.24,Penicillin,Blue Cross Blue Shield,Nannette Abercrombie,620-286-8986
error: unable to close due to unfinalized statements or unfinished backups,Male,101,762-58-3093,AB,168.9,651.64,34.78,70,128,81113,9385,11/12/2021,10/25/2020,diazepam,525.25,Latex,Aetna,Ignace Placido,935-330-7920
error: unable to close due to unfinalized statements or unfinished backups,Male,41,505-52-9407,B,239.37,289.59,34.47,68,120,0828,0111,12/16/2021,8/25/2022,FAMOTIDINE,108.98,Penicillin,Cigna,Redd Kiggel,774-268-1861
error: unable to close due to unfinalized statements or unfinished backups,Female,55,442-10-1068,A,257.02,253.66,44.83,155,98,56739,8691,1/6/2021,7/4/2021,Western Ragweed,62.57,Peanuts,Cigna,Malorie Swoffer,131-641-9799
error: unable to close due to unfinalized statements or unfinished backups,Female,56,222-56-9366,O,44.98,423.42,34.44,79,80,V447,1043,8/26/2020,4/7/2020,NEOMYCIN SULFATE,242.91,Peanuts,Aetna,Oona Beckers,554-345-9513
error: unable to close due to unfinalized statements or unfinished backups,Female,94,370-15-3040,B,174.49,132.74,35.62,85,136,37753,9035,12/23/2022,12/23/2020,Prenatal Nutrition with CoQ10 and Lycopene,852.33,Latex,Blue Cross Blue Shield,Kaela Boissier,532-266-2981
error: unable to close due to unfinalized statements or unfinished backups,Non-binary,120,372-45-6075,A,131.18,518.09,30.3,142,65,64683,7894,3/8/2021,9/21/2021,Cetirizine Hydrochloride,426.32,Latex,Cigna,Blake Fakes,233-368-8895
error: unable to close due to unfinalized statements or unfinished backups,Male,49,161-50-1257,B,279.07,585.93,33.33,119,180,08241,1459,8/4/2022,6/21/2021,Aluminum Zirconium Trichlorohydrex Gly,628.73,Peanuts,Aetna,Kendal Thunder,965-937-7438
error: unable to close due to unfinalized statements or unfinished backups,Female,14,432-08-4938,A,171.68,250.64,44.16,113,60,84200,9741,6/10/2020,1/28/2022,DIVALPROEX SODIUM,268.13,Penicillin,Cigna,Fredra Thornham,323-272-1016
error: unable to close due to unfinalized statements or unfinished backups,Male,41,138-46-2869,B,147.88,717.33,38.56,131,185,43842,3786,10/13/2020,9/25/2021,Glyburide and Metformin Hydrochloride,563.73,Peanuts,Blue Cross Blue Shield,Carny Hainge,163-733-6963
error: unable to close due to unfinalized statements or unfinished backups,Male,41,590-44-6185,B,13.81,719.18,31.59,127,53,E0121,260,10/8/2022,1/9/2020,"Avobenzone, Homosalate, Octocrylene, Oxybenzone",420.28,Latex,Blue Cross Blue Shield,Brooks Aldritt,317-399-2952
error: unable to close due to unfinalized statements or unfinished backups,Male,8,159-29-2864,B,234.19,362.48,30.0,164,187,2829,5599,3/14/2020,2/2/2020,calcium carbonate,283.05,Peanuts,Blue Cross Blue Shield,Erie Mitkov,478-806-2739
error: unable to close due to unfinalized statements or unfinished backups,Male,44,680-24-8144,B,103.03,463.92,30.56,188,70,V641,8454,2/2/2021,8/18/2022,Octinoxate and Titanium Dioxide,426.66,Latex,Blue Cross Blue Shield,Tim Drennan,295-954-2118
error: unable to close due to unfinalized statements or unfinished backups,Female,13,731-39-1461,O,207.05,549.49,39.94,161,140,8628,0870,5/5/2022,6/20/2022,ALLANTOIN,180.78,Latex,Aetna,Cathryn Selby,265-490-3371
error: unable to close due to unfinalized statements or unfinished backups,Female,15,297-26-5071,B,32.89,772.26,34.82,94,198,33982,5672,11/30/2020,4/12/2021,Anticavity Rinse,729.17,Peanuts,Aetna,Cecily Toppin,408-216-9681
error: unable to close due to unfinalized statements or unfinished backups,Genderfluid,27,654-01-7235,B,136.42,876.8,36.79,131,199,79311,9943,2/12/2021,1/28/2022,Ondansetron,533.51,Latex,Aetna,Myra Alexandrescu,368-287-1861
error: unable to close due to unfinalized statements or unfinished backups,Female,61,123-15-2766,B,118.76,633.54,41.89,100,178,3484,2264,7/29/2020,10/9/2020,Octinoxate and Titanium Dioxide,408.56,Latex,Aetna,Tedda Cockrell,744-413-4810
error: unable to close due to unfinalized statements or unfinished backups,Male,61,479-24-1241,A,149.61,917.99,35.08,127,138,85235,806,2/22/2020,9/17/2021,"Arsenicum Album, Carbo Veg, Colocynthis, Chamomilla, Dioscorea, Ipecac, Mag. Phos, Sulphur",473.91,Peanuts,Cigna,Barret Prudham,519-924-7468
error: unable to close due to unfinalized statements or unfinished backups,Female,84,784-93-8778,A,239.63,785.05,34.48,112,160,29411,6619,10/22/2021,4/2/2021,Cetylpyridinium chloride,868.27,Peanuts,Blue Cross Blue Shield,Idelle Avent,185-943-3473
error: unable to close due to unfinalized statements or unfinished backups,Female,93,245-58-5563,O,120.08,408.82,41.8,102,90,5753,9996,1/14/2020,3/15/2020,Sulfamethoxazole and Trimethoprim,743.97,Peanuts,Cigna,Valerye Lawrenz,428-459-6414
error: unable to close due to unfinalized statements or unfinished backups,Male,32,541-73-6081,A,85.1,678.55,32.31,146,127,64200,050,7/27/2020,2/23/2022,NEOSTIGMINE METHYLSULFATE,275.27,Latex,Cigna,Findlay Arndt,219-849-3345
error: unable to close due to unfinalized statements or unfinished backups,Female,41,221-96-5783,A,55.72,910.8,39.48,161,99,9193,7713,5/5/2022,6/23/2020,"Aconitum napellus, Belladonna, Chininum sulphuricum, Ferrum phosphoricum, Hepar sulphuris calcareum, Mercurius corrosivus, Natrum muriaticum, Nux vomica, Phosphorus, Pulsatilla, Sarcolacticum acidum, Sulphur",746.65,Peanuts,Cigna,Clem Winfrey,625-195-8933
error: unable to close due to unfinalized statements or unfinished backups,Female,106,711-07-8272,O,109.49,61.99,44.13,173,58,2156,0523,6/16/2021,10/27/2021,Titanium Dioxide and Zinc Oxide,606.1,Latex,Blue Cross Blue Shield,Kat Massie,607-457-2140
error: unable to close due to unfinalized statements or unfinished backups,Male,115,690-67-4296,B,163.08,461.66,39.42,75,173,71517,1732,12/28/2021,1/12/2022,SILICON DIOXIDE,866.39,Penicillin,Aetna,Kristopher Stanway,185-196-6489
error: unable to close due to unfinalized statements or unfinished backups,Male,96,706-91-4430,AB,222.81,596.43,30.99,101,103,94559,4054,5/2/2020,6/2/2021,Nystatin,388.67,Latex,Aetna,Hurley Harridge,656-699-5000
error: unable to close due to unfinalized statements or unfinished backups,Male,68,520-89-8284,B,157.61,767.85,42.36,84,185,6395,8245,5/28/2022,5/28/2021,acarbose,337.38,Peanuts,Cigna,Henri Bleier,210-310-9792
error: unable to close due to unfinalized statements or unfinished backups,Female,40,762-36-2676,B,69.55,873.58,35.44,116,133,V5831,9721,11/27/2022,9/14/2022,Doxycycline Hyclate,440.07,Latex,Blue Cross Blue Shield,Elyssa Mars,221-302-0338
error: unable to close due to unfinalized statements or unfinished backups,Male,31,512-83-4905,A,30.17,717.78,32.57,100,141,67484,9921,5/15/2022,11/3/2020,Sulfamethoxazole and Trimethoprim,650.56,Peanuts,Cigna,Julie Peace,254-920-7848
error: unable to close due to unfinalized statements or unfinished backups,Female,16,335-52-2305,AB,210.24,674.23,33.43,145,110,V0970,9733,11/12/2020,6/3/2021,TOPIRAMATE,892.51,Penicillin,Cigna,Dannie Nolton,265-735-8672
error: unable to close due to unfinalized statements or unfinished backups,Male,94,889-02-4370,B,192.7,67.17,37.49,168,79,2453,1121,7/12/2020,6/8/2022,Oxygen,708.07,Latex,Cigna,Nicholas Richens,215-394-3562
error: unable to close due to unfinalized statements or unfinished backups,Female,53,517-94-8647,O,160.6,391.23,36.87,75,70,2211,9092,2/13/2022,11/3/2020,ISOPROPYL ALCOHOL,126.77,Penicillin,Aetna,Christiana Dimitriades,771-765-4190
error: unable to close due to unfinalized statements or unfinished backups,Male,71,304-34-5892,AB,153.56,952.86,38.02,130,137,5953,8059,12/16/2021,9/4/2021,Salicylic Acid,900.01,Latex,Cigna,Ignacio Beausang,274-739-3639
error: unable to close due to unfinalized statements or unfinished backups,Male,71,285-41-7189,O,267.76,609.13,39.53,189,199,8678,8939,7/30/2021,8/9/2020,Acetaminophen,189.9,Penicillin,Blue Cross Blue Shield,Harley Champniss,376-688-6149
error: unable to close due to unfinalized statements or unfinished backups,Female,112,368-28-7956,O,83.72,85.99,38.11,133,78,42499,1175,5/30/2020,11/21/2020,Quetiapine fumarate,519.37,Peanuts,Cigna,Reeba Di Francesco,458-340-4980
error: unable to close due to unfinalized statements or unfinished backups,Female,76,431-66-4514,A,210.11,685.86,40.53,139,174,71652,4468,7/17/2020,12/24/2021,Salicylic Acid,354.77,Penicillin,Cigna,Joell Blyth,977-320-1356
error: unable to close due to unfinalized statements or unfinished backups,Male,70,539-08-0881,A,33.3,354.85,32.82,150,90,6070,7803,9/6/2022,8/14/2021,lamotrigine extended release,615.45,Latex,Blue Cross Blue Shield,Arny O' Faherty,391-424-5217
error: unable to close due to unfinalized statements or unfinished backups,Genderfluid,79,532-29-9033,AB,250.71,836.84,33.82,139,123,0660,1235,7/6/2022,8/16/2021,"Berberis Aquifolium, Calendula Officinalis, Hydrastis Canadensis, Acid Boric, Zinc Oxide, Borax, Calcium Sulphate, Antimonium Crudum",543.71,Penicillin,Cigna,Hercules Ilive,177-861-1494
error: unable to close due to unfinalized statements or unfinished backups,Female,22,572-88-9987,AB,27.65,283.05,35.64,150,130,4471,0443,8/11/2022,10/19/2020,House Dust,272.65,Peanuts,Cigna,Veronique Keable,156-231-6304
error: unable to close due to unfinalized statements or unfinished backups,Female,94,468-62-8518,A,247.04,479.09,35.81,117,88,2775,3223,5/29/2022,3/15/2022,"cocoa butter, phenylephrine hcl",42.19,Latex,Aetna,Susanna Pfertner,491-937-5419
error: unable to close due to unfinalized statements or unfinished backups,Male,24,305-40-2484,O,91.6,894.49,43.43,81,177,E8107,2419,5/21/2020,5/28/2022,"OCTINOXATE, OXYBENZONE, TITANIUM DIOXIDE",261.25,Penicillin,Blue Cross Blue Shield,Erny Shingler,708-994-3701
error: unable to close due to unfinalized statements or unfinished backups,Genderfluid,62,380-61-0594,AB,267.68,719.44,34.37,142,48,85259,1286,12/28/2020,11/21/2021,PANCRELIPASE,667.25,Latex,Aetna,Letty Argyle,868-714-6089
error: unable to close due to unfinalized statements or unfinished backups,Male,90,241-03-3673,O,233.25,847.39,34.06,170,109,20288,0102,4/16/2021,3/3/2020,Mucinex Fast Max Severe Congestion and Cough Maximum Strength,271.05,Penicillin,Cigna,Julio Sturgess,448-187-6082
error: unable to close due to unfinalized statements or unfinished backups,Male,53,618-48-1932,O,64.72,1.4,43.05,158,91,75232,4019,8/19/2021,11/8/2022,halobetasol propionate,193.72,Latex,Blue Cross Blue Shield,Valentino Laddle,456-376-4293
error: unable to close due to unfinalized statements or unfinished backups,Female,44,285-24-7947,A,151.8,457.21,44.52,110,109,41511,8795,11/1/2022,12/5/2020,CIPROFLOXACIN HYDROCHLORIDE,692.37,Peanuts,Cigna,Alison Blethyn,972-204-8162
error: unable to close due to unfinalized statements or unfinished backups,Female,40,179-35-7282,O,156.82,67.07,37.68,115,40,00802,5504,7/11/2020,9/27/2020,Risperidone,885.59,Latex,Cigna,Lishe Gouldsmith,744-238-4976
error: unable to close due to unfinalized statements or unfinished backups,Female,32,436-84-1142,B,180.39,159.08,39.13,117,87,01140,9462,2/25/2020,2/15/2021,"OCTINOXATE, TITANIUM DIOXIDE",37.05,Latex,Aetna,Meriel Brammar,736-198-6275
error: unable to close due to unfinalized statements or unfinished backups,Bigender,81,457-75-7230,O,275.05,991.37,38.9,128,189,11281,3734,12/24/2022,3/6/2021,golimumab,957.11,Latex,Aetna,Skippie Gallichiccio,721-698-4732
error: unable to close due to unfinalized statements or unfinished backups,Male,84,360-57-2601,A,268.92,267.39,41.85,120,98,73084,6081,4/23/2021,3/18/2022,"POLYETHYLENE GLYCOL 400, PROPYLENE GLYCOL",952.6,Latex,Aetna,Adolpho Burrus,412-104-2531
error: unable to close due to unfinalized statements or unfinished backups,Female,15,532-94-4066,O,57.69,28.01,32.02,88,49,E8363,9132,10/3/2020,7/17/2021,Disopyramide Phosphate,606.51,Penicillin,Cigna,Lorilee Ridgeway,205-349-2763
error: unable to close due to unfinalized statements or unfinished backups,Female,68,311-54-2728,O,159.46,558.81,34.9,60,65,E8791,8520,3/7/2021,3/11/2020,galantamine,938.18,Latex,Blue Cross Blue Shield,Jacky Keming,601-807-7629
error: unable to close due to unfinalized statements or unfinished backups,Female,111,377-89-1852,AB,131.07,667.17,42.9,73,110,1749,9954,3/22/2020,11/2/2022,PredniSONE,353.83,Peanuts,Cigna,Susy Cheek,148-275-9526
error: unable to close due to unfinalized statements or unfinished backups,Male,26,227-84-5547,AB,33.72,135.4,39.01,165,175,38906,9166,6/22/2021,4/2/2020,OCTINOXATE,517.52,Peanuts,Cigna,Reinald Message,672-876-2923
error: unable to close due to unfinalized statements or unfinished backups,Female,30,168-30-4619,AB,108.54,288.59,38.0,166,191,E9069,5582,2/7/2022,8/15/2022,Hydrocortisone,523.63,Penicillin,Blue Cross Blue Shield,Melody Ingray,536-505-3415
error: unable to close due to unfinalized statements or unfinished backups,Male,36,357-34-4540,A,252.71,99.37,37.94,94,133,25514,8953,9/10/2022,11/17/2021,OCTINOXATE,721.59,Penicillin,Aetna,Pip Kesley,191-688-0962
error: unable to close due to unfinalized statements or unfinished backups,Genderqueer,58,519-71-8663,B,204.4,254.22,30.01,169,96,7522,9220,4/5/2022,1/24/2022,CYCLOBENZAPRINE HYDROCHLORIDE,23.84,Penicillin,Blue Cross Blue Shield,Domini Snowling,474-722-0949
error: unable to close due to unfinalized statements or unfinished backups,Female,117,455-36-2371,AB,174.83,119.24,32.44,181,164,83402,5829,10/30/2020,6/3/2021,"SPONGIA OFFICINALIS SKELETON, ROASTED",913.69,Latex,Blue Cross Blue Shield,Ros Churm,562-231-9720
error: unable to close due to unfinalized statements or unfinished backups,Male,84,563-18-5404,O,251.55,503.76,32.87,162,46,3979,4225,6/10/2020,11/28/2020,OCTINOXATE and TITANIUM DIOXIDE,952.9,Peanuts,Aetna,Eziechiele Swetenham,457-258-4995
error: unable to close due to unfinalized statements or unfinished backups,Male,49,117-16-5233,B,51.08,595.47,37.8,194,71,V298,0752,1/24/2022,6/9/2021,Octinoxate,425.05,Penicillin,Blue Cross Blue Shield,Demetre Clethro,951-582-8034
error: unable to close due to unfinalized statements or unfinished backups,Male,31,465-34-3556,A,16.91,428.72,40.85,86,170,20953,282,5/8/2020,6/7/2021,"Avena Sativa, Kali Phosphoricum, Cactus Grandiflorus, Daphne Indica, Eucalyptol, Lobelia Inflata, Mentholum",450.0,Peanuts,Aetna,Bertrand Stemson,520-857-7531
error: unable to close due to unfinalized statements or unfinished backups,Male,114,616-06-2840,A,120.69,607.86,35.4,117,101,71859,4859,8/23/2021,1/14/2021,"Aconitum nap., Baryta carb., Baryta mur., Capsicum, Causticum, Chenopodium anthelminticum, Chininum sulphuricum, Cinchona, Glonoinum, Graphites, Hydrastis, Kali bic., Kali mur., Lycopodium, Phosphorus, Pulsatilla, Salicylicum ac., Tabacum, Thiosinaminum, Viola odorata, Hydrastis.",548.26,Penicillin,Cigna,Farlie Sydall,255-352-5372
error: unable to close due to unfinalized statements or unfinished backups,Female,1,297-85-8864,B,254.24,131.79,34.71,82,137,99732,4686,3/23/2022,7/21/2020,Triclosan,963.61,Latex,Blue Cross Blue Shield,Merrili Gummie,667-983-9497
error: unable to close due to unfinalized statements or unfinished backups,Female,105,117-16-7905,AB,102.52,305.86,43.55,137,103,53130,9619,5/29/2020,10/9/2021,"Acetaminophen, Dextromethorphan Hydrobromide and Doxylamine Succinate",542.0,Peanuts,Blue Cross Blue Shield,Goldy McMillan,610-496-1471
error: unable to close due to unfinalized statements or unfinished backups,Male,103,866-37-0503,O,284.33,739.5,31.37,89,181,65313,9139,9/16/2020,12/19/2020,Virginia Live Oak,781.24,Penicillin,Blue Cross Blue Shield,Pernell Hammatt,267-550-9644
error: unable to close due to unfinalized statements or unfinished backups,Male,40,704-31-9906,B,295.66,699.9,35.89,180,60,0630,6574,10/27/2022,8/19/2022,Valacyclovir Hydrochloride,43.21,Penicillin,Blue Cross Blue Shield,Ezechiel Gibbons,805-198-2187
error: unable to close due to unfinalized statements or unfinished backups,Female,47,711-43-8937,O,289.89,497.54,42.34,145,148,01310,1031,12/28/2020,8/4/2021,"Causticum, Natrum muriaticum, Nus vomica, Pulsatilla, Sepia, Staphysagria, Thuja occidentalis,",580.3,Peanuts,Cigna,Ondrea Shelly,695-973-9439
error: unable to close due to unfinalized statements or unfinished backups,Female,85,572-83-8245,AB,131.67,336.48,36.15,190,43,2152,6093,3/2/2021,4/30/2021,salicylic acid,491.46,Peanuts,Cigna,Michaella Alelsandrovich,610-725-9171
error: unable to close due to unfinalized statements or unfinished backups,Female,78,294-91-0695,B,114.72,205.54,32.98,161,60,4784,2756,1/13/2020,8/18/2022,Tamoxifen Citrate,42.41,Penicillin,Cigna,Jeanie Mussetti,343-537-6995
error: unable to close due to unfinalized statements or unfinished backups,Female,114,228-99-0781,AB,224.83,133.87,35.73,85,126,01320,8426,3/28/2020,12/3/2020,METFORMIN HYDROCHLORIDE,744.41,Peanuts,Aetna,Nike Melluish,986-839-8052
error: unable to close due to unfinalized statements or unfinished backups,Female,77,332-95-0806,AB,55.78,332.13,31.74,183,104,340,9390,7/4/2022,5/4/2020,Duloxetine,882.52,Penicillin,Aetna,Adrian Fache,353-952-0675
error: unable to close due to unfinalized statements or unfinished backups,Female,87,398-65-6139,A,193.98,991.86,31.22,180,125,1540,290,8/17/2020,8/22/2022,Pramipexole dihydrochloride,723.07,Latex,Blue Cross Blue Shield,Cassy Dunning,647-958-8091
error: unable to close due to unfinalized statements or unfinished backups,Male,115,639-15-7099,AB,159.39,906.44,34.48,155,104,V518,3726,4/17/2022,4/24/2021,Prednisone,839.35,Latex,Cigna,Greggory Crookshank,525-477-3553
